ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,RF_erf,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret
31.583414239103465,-6.766017564108286,-4.394789546085765,-10.90742441595171,2014-08-06,0.0002596450000000001,0.006364865000000002,-1.0,-0.047619047619047616,0,0.0,0.011256610000000005,0.022665809999999977
31.585586768203516,-7.689311555357518,-4.164394713588515,-10.857550241923619,2014-08-07,0.00015666200000000004,0.005787916000000002,-1.0,-0.14285714285714285,0,0.0,0.011256610000000005,0.022822471999999976
31.597369431105328,-7.271360939181622,-4.101104963292976,-10.76971636552156,2014-08-08,-0.0011927970000000002,0.007868925000000002,-1.0,-0.23809523809523808,0,-0.0,0.011256610000000005,0.021629674999999977
31.587117292378736,-6.928621589425838,-3.6924579279850382,-10.517238665649188,2014-08-11,-0.0006683589999999999,0.007907152000000002,-1.0,-0.3333333333333333,0,-0.0,0.011256610000000005,0.020961315999999976
31.535839517652363,-7.768029765398621,-4.318291514709814,-10.496534753750351,2014-08-12,-0.0005700430000000003,0.007940018000000004,-1.0,-0.42857142857142855,0,-0.0,0.011256610000000005,0.020391272999999977
31.358821488458233,-4.381235991845676,-6.25810537009346,-10.580339392204236,2014-08-13,-0.00012096499999999988,0.006644200000000004,-1.0,-0.5238095238095238,0,-0.0,0.011256610000000005,0.020270307999999976
31.183503050195068,-3.842957888168869,-7.272956475385635,-10.717762446235923,2014-08-14,1.5400000000003952e-07,0.0058904040000000045,-1.0,-0.6190476190476191,0,0.0,0.011256610000000005,0.020270461999999975
31.01743533834804,-3.0305672896491838,-7.5269476899463355,-10.860106360125739,2014-08-15,0.001064872,0.005410799000000004,-1.0,-0.7142857142857143,0,0.0,0.011256610000000005,0.021335333999999977
30.503268454616066,-3.5054347984704624,-6.824528899958018,-11.254938084457564,2014-08-18,0.0008305700000000001,0.006924575000000004,-1.0,-0.8095238095238095,0,0.0,0.011256610000000005,0.022165903999999976
30.317702015167388,-3.3733922118141475,-7.02190189783872,-11.392380334476925,2014-08-19,-6.0897000000000024e-05,0.005982051000000004,-1.0,-0.9047619047619048,0,-0.0,0.011256610000000005,0.022105006999999975
30.13049039843025,-3.3363338209215216,-6.877978897579952,-11.516522083560345,2014-08-20,0.0015753129999999998,0.005846590000000004,-1.0,-1.0,0,0.0,0.011256610000000005,0.023680319999999973
29.97870406732525,-5.328312314531672,-6.23711111094848,-11.639434969055786,2014-08-21,0.00041652199999999995,0.004589625000000003,-1.0,-1.0,0,0.0,0.011256610000000005,0.024096841999999973
29.82638224212073,-5.253531254514407,-5.769181211044308,-11.743863723108644,2014-08-22,0.001263217,0.004301289000000003,-1.0,-1.0,0,0.0,0.011256610000000005,0.025360058999999973
29.36585626458549,-5.5054511681555445,-5.9742485455710215,-12.021492791083858,2014-08-25,0.000378144,0.0025271160000000037,-1.0,-1.0,0,0.0,0.011256610000000005,0.025738202999999973
29.27074202025361,-9.967346539680246,-2.6715995649602657,-11.99047971458815,2014-08-26,-0.0007712850000000001,0.0013323710000000036,-1.0,-1.0,0,-0.0,0.011256610000000005,0.024966917999999973
29.177104076442877,-10.007799070923566,-2.7611624956836898,-11.967525654054072,2014-08-27,0.0008764440000000001,-0.0008416009999999965,-1.0,-1.0,0,0.0,0.011256610000000005,0.025843361999999974
29.150489443856372,-12.057476996347633,-2.717456112604281,-11.942130325750794,2014-08-28,-3.358599999999997e-05,0.0011503920000000033,-1.0,-1.0,0,-0.0,0.011256610000000005,0.025809775999999975
29.10941014763424,-12.66320512123796,-3.742608882795672,-11.950244108092832,2014-08-29,-0.001737024,-0.0005456469999999972,-1.0,-1.0,0,-0.0,0.011256610000000005,0.024072751999999975
28.91481666255973,-12.50989947457198,-4.096784040765137,-11.983055627274663,2014-09-01,-0.000175953,-0.0011417869999999976,-1.0,-1.0,0,-0.0,0.011256610000000005,0.023896798999999976
28.82994911845017,-13.609746870321883,-3.1197723317900716,-11.960797472110885,2014-09-02,0.00019349199999999992,-0.0004429269999999979,-1.0,-1.0,0,0.0,0.011256610000000005,0.024090290999999976
28.823351687822708,-14.743709820256887,-4.382843557574513,-11.982937639455542,2014-09-03,0.0005348520000000002,-0.0015313439999999983,-1.0,-1.0,0,0.0,0.011256610000000005,0.024625142999999974
28.842427351105584,-14.802795353759613,-2.7146693833944795,-11.939831081256356,2014-09-04,0.004233384000000001,0.0023857770000000026,-1.0,-1.0,0,0.0,0.011256610000000005,0.028858526999999974
28.8543385233082,-11.702555521072044,-3.980328137514877,-11.944597690242588,2014-09-05,0.0003288099999999998,0.0041354710000000025,-1.0,-1.0,0,0.0,0.011256610000000005,0.029187336999999973
28.789891183509727,-12.169236162872467,-4.3480623705972095,-11.939874063197975,2014-09-08,-0.001769746,0.005502042000000004,-1.0,-1.0,0,-0.0,0.011256610000000005,0.027417590999999974
28.715623692803632,-12.005503625112205,-4.446020008246367,-11.930447365321982,2014-09-09,0.00141265,0.007529655000000003,-1.0,-1.0,0,0.0,0.011256610000000005,0.028830240999999975
28.636741925963435,-11.744509643338793,-4.447247008346165,-11.929559428666535,2014-09-10,-0.000531816,0.009120600000000003,-1.0,-1.0,0,-0.0,0.011256610000000005,0.028298424999999974
28.55515289445489,-11.0533156959223,-4.084548870001353,-11.908987301677284,2014-09-11,-8.80989999999999e-05,0.0065782240000000014,-1.0,-1.0,0,-0.0,0.011256610000000005,0.028210325999999973
28.462920862059946,-11.513236304035642,-4.009884813426011,-11.89907860641685,2014-09-12,-0.0012956640000000002,0.009197562,-1.0,-1.0,0,-0.0,0.011256610000000005,0.02691466199999997
28.12727717477168,-10.49977401378625,-4.283543908282695,-11.942898556432366,2014-09-15,0.00031107600000000014,0.0030430149999999996,-1.0,-1.0,0,0.0,0.011256610000000005,0.02722573799999997
27.94125758177068,-10.131294862442305,-3.972103888343588,-12.018874134776294,2014-09-16,0.000350965,0.0028458509999999986,-1.0,-1.0,0,0.0,0.011256610000000005,0.027576702999999973
27.747873407187228,-7.510853087489369,-5.578541416666063,-12.147264501006887,2014-09-17,0.0014528789999999998,0.003533890999999998,-1.0,-1.0,0,0.0,0.011256610000000005,0.029029581999999974
27.563055734424978,-7.1649976568156255,-5.710031675622997,-12.270893774858196,2014-09-18,0.0006327889999999999,0.0045717549999999985,-1.0,-1.0,0,0.0,0.011256610000000005,0.029662370999999972
27.37627009707265,-7.088238514181772,-5.833231087193856,-12.392786384782582,2014-09-19,0.000281061,0.0015398029999999971,-1.0,-1.0,0,0.0,0.011256610000000005,0.02994343199999997
26.83316181597252,-6.2607856992056075,-6.04320649222133,-12.720781607599536,2014-09-22,6.2520000000000614e-06,-0.0009740010000000027,-1.0,-1.0,0,0.0,0.011256610000000005,0.029949683999999973
26.648516770672106,-6.534775113727917,-6.5117349240588664,-12.82651569219641,2014-09-23,8.980799999999994e-05,0.0015897019999999973,-1.0,-1.0,0,0.0,0.011256610000000005,0.030039491999999973
26.454479183059163,-8.669085911052798,-5.978732992851197,-12.900441526142727,2014-09-24,-0.002545458,0.002820678999999997,-1.0,-1.0,0,-0.0,0.011256610000000005,0.027494033999999973
26.23367642207674,-8.616889811900128,-5.818155891449745,-12.968841320803392,2014-09-25,-0.000318301,0.005957363999999997,-1.0,-1.0,0,-0.0,0.011256610000000005,0.027175732999999973
26.081900130510608,-8.654902847095649,-5.89069740775148,-13.03604996770612,2014-09-26,-0.002207558,0.007174209999999997,-1.0,-1.0,0,-0.0,0.011256610000000005,0.024968174999999974
25.6340264816358,-8.450387555782722,-5.242740293887225,-13.175853375100004,2014-09-29,0.0002549689999999998,0.005476747999999998,-1.0,-1.0,0,0.0,0.011256610000000005,0.025223143999999975
25.477998294962845,-7.394884054216505,-6.6778704362188295,-13.309888971793852,2014-09-30,-0.0018719920000000005,0.004720060999999998,-1.0,-1.0,0,-0.0,0.011256610000000005,0.023351151999999976
25.300047302490157,-6.251375416020283,-7.901792439422072,-13.474461758131568,2014-10-01,-0.0004026480000000004,0.0006878609999999974,-1.0,-1.0,0,-0.0,0.011256610000000005,0.022948503999999974
25.038106618364676,-5.978020892837753,-7.8912397317060075,-13.63604535745661,2014-10-02,0.0012337119999999999,-0.003396659000000003,-1.0,-1.0,0,0.0,0.011256610000000005,0.024182215999999975
24.814742748485827,-8.171232286193053,-7.1642038622367865,-13.758557418245315,2014-10-03,0.0031449670000000002,-0.005896538000000003,-1.0,-1.0,0,0.0,0.011256610000000005,0.027327182999999977
24.1442162567096,-9.167524346179267,-7.5390902329305485,-14.099261631915054,2014-10-06,0.0042459310000000005,-0.008756976000000005,-1.0,-1.0,0,0.0,0.011256610000000005,0.03157311399999998
23.877434689296337,-10.46113683328804,-8.582561825363603,-14.294616462346186,2014-10-07,-2.0051999999999936e-05,-0.014082721000000006,-1.0,-1.0,0,-0.0,0.011256610000000005,0.03155306199999998
23.62556183748879,-10.320916193028015,-8.532316818962556,-14.479734263307819,2014-10-08,0.002779221000000001,-0.013015599000000008,-1.0,-1.0,0,0.0,0.011256610000000005,0.03433228299999998
23.389489319555,-10.46173456826041,-8.117042011098414,-14.637564305217724,2014-10-09,0.0014957969999999994,-0.013385909000000008,-1.0,-1.0,0,0.0,0.011256610000000005,0.03582807999999998
23.16636212561326,-10.273487322716496,-7.65677609904134,-14.820355711265748,2014-10-10,0.001502846,-0.009262970000000008,-1.0,-1.0,0,0.0,0.011256610000000005,0.03733092599999998
22.55118631845789,-9.87904488160309,-7.353619559537011,-15.275927784143548,2014-10-13,-0.003838040000000001,-0.013818766000000005,-1.0,-1.0,0,-0.0,0.011256610000000005,0.03349288599999998
22.316535465158445,-10.089957012055585,-8.020056483010773,-15.43055696629844,2014-10-14,0.0029304139999999984,-0.006252357000000006,-1.0,-1.0,0,0.0,0.011256610000000005,0.03642329999999998
22.05858247518785,-8.343043363619994,-9.34921691840085,-15.613008262570533,2014-10-15,-0.005803582,-0.005719750000000006,-1.0,-1.0,0,-0.0,0.011256610000000005,0.030619717999999976
21.860569861478552,-8.921702304529234,-8.155184398636049,-15.732061323684563,2014-10-16,0.0012557149999999995,-0.004969191000000006,-1.0,-1.0,0,0.0,0.011256610000000005,0.031875432999999974
21.673911981738033,-9.302622139638252,-7.693325119347733,-15.829569239502804,2014-10-17,0.0013208289999999995,-0.005882122000000006,-1.0,-1.0,0,0.0,0.011256610000000005,0.033196261999999976
21.135545683233058,-8.970512133141819,-7.371128404296732,-16.071844699432248,2014-10-20,0.001318925,-0.0035843470000000047,-1.0,-1.0,0,0.0,0.011256610000000005,0.034515186999999975
20.906635087038666,-8.86450683430715,-7.121480357707328,-16.120271619629833,2014-10-21,-0.003025700000000001,-0.0010129450000000047,-1.0,-1.0,0,-0.0,0.011256610000000005,0.031489486999999976
20.68220244185176,-8.760722532216061,-7.36401558861168,-16.16664973812786,2014-10-22,-0.002423996,-0.006610024000000005,-1.0,-1.0,0,-0.0,0.011256610000000005,0.029065490999999975
20.472889726015524,-6.119038389565665,-5.659679384601496,-16.124174617719813,2014-10-23,1.824499999999995e-05,-0.005776319000000005,-1.0,-1.0,0,0.0,0.011256610000000005,0.029083735999999975
20.261176728656412,-5.479752967176736,-5.733352201195399,-16.09330389208219,2014-10-24,0.0009126759999999996,-0.006526432000000005,-1.0,-1.0,0,0.0,0.011256610000000005,0.029996411999999976
19.63773793918142,-6.150834451438963,-6.031394025556045,-16.009760203484053,2014-10-27,0.000929127,-0.007045089000000004,-1.0,-1.0,0,0.0,0.011256610000000005,0.030925538999999974
19.43469572793396,-5.92766430951546,-5.422267798336445,-15.96775722006022,2014-10-28,0.0014718149999999994,-0.005234253000000005,-1.0,-1.0,0,0.0,0.011256610000000005,0.032397353999999975
19.251903787551075,-5.877946203910098,-5.194677780431288,-15.915346746380179,2014-10-29,-0.0035694539999999992,-0.004504808000000005,-1.0,-1.0,0,-0.0,0.011256610000000005,0.028827899999999976
19.112071647860006,-6.14531997074709,-3.1812043120998794,-15.783361300861516,2014-10-30,-0.0011593350000000005,-0.0010975270000000053,-1.0,-1.0,0,-0.0,0.011256610000000005,0.027668564999999975
18.96647355590386,-6.836837523573513,-3.9278558414576654,-15.69593513944875,2014-10-31,-0.002798488,-0.002633718000000005,-1.0,-1.0,0,-0.0,0.011256610000000005,0.024870076999999977
18.551858248585607,-8.6642843875136,-2.4846054395785693,-15.376771298862794,2014-11-03,-0.000939553,-0.003616075000000005,-1.0,-1.0,0,-0.0,0.011256610000000005,0.023930523999999977
