ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,RF,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret,
1.662776942,11.27231569,-1.166549045,-6.750819718,17/12/2015,-0.00242488,0.00231438,1,1,1,-0.00242488,0.000684252,0.021263977,
1.691984285,11.13969128,-1.460193272,-6.670318475,18/12/2015,0.001384187,-0.00046431,1,1,1,0.001384187,0.002068439,0.022648164,
1.77436648,12.16935907,-2.220865485,-6.474162844,21/12/2015,0.001803748,-0.001265105,1,1,1,0.001803748,0.003872187,0.024451912,
1.80086993,11.76747622,-2.001490346,-6.427231121,22/12/2015,0.001754481,0.001571927,1,1,1,0.001754481,0.005626668,0.026206393,
1.814590769,12.1334325,-3.321320323,-6.425082088,23/12/2015,-0.001966385,0.002069042,1,1,1,-0.001966385,0.003660283,0.024240008,
1.830427999,11.89403547,-3.217006436,-6.420447317,24/12/2015,0.002620078,0.002594488,1,1,1,0.002620078,0.006280361,0.026860086,
1.845056207,11.75180412,-3.167956472,-6.414593296,25/12/2015,2.11E-05,0.002929504,1,1,1,2.11E-05,0.006301431,0.026881156,
1.880364451,11.34352684,-3.445440888,-6.410181524,28/12/2015,0.000336947,0.004349583,1,1,1,0.000336947,0.006638378,0.027218103,
1.889756273,10.81736445,-3.22022254,-6.416041272,29/12/2015,-0.00219473,0.00299732,1,1,1,-0.00219473,0.004443648,0.025023373,
1.892524629,10.62550975,-3.111560182,-6.433592721,30/12/2015,0.000126882,0.009073017,1,1,1,0.000126882,0.00457053,0.025150255,
1.889105827,11.45503107,-3.750326787,-6.472711468,31/12/2015,-0.00269357,0.007863073,1,1,1,-0.00269357,0.00187696,0.022456685,
1.885431455,11.3229398,-3.693692962,-6.508402565,01/01/2016,0,0.008999094,1,1,1,0,0.00187696,0.022456685,
1.84555815,11.6451716,-3.802439238,-6.639673265,04/01/2016,-0.001427329,0.005469315,1,1,1,-0.001427329,0.000449631,0.021029356,
1.843282764,10.84605976,-4.057124067,-6.735851455,05/01/2016,-0.003233172,-0.000389514,-1,1,1,-0.003233172,-0.002783541,0.017796184,
1.835725828,9.598810678,-3.047427829,-6.79106714,06/01/2016,0.000922995,-0.005216815,1,1,1,0.000922995,-0.001860546,0.018719179,
1.868680969,11.77211811,-1.85663787,-6.831395987,07/01/2016,0.006261956,-0.007092426,1,0.904761905,1,0.006261956,0.00440141,0.024981135,
1.92802239,9.141937028,-0.840081593,-6.841937673,08/01/2016,0.000148063,-0.008036722,1,0.904761905,1,0.000148063,0.004549473,0.025129198,
2.075552159,8.775032999,-1.085566818,-6.890578314,11/01/2016,-0.002672446,-0.007030363,1,0.904761905,1,-0.002672446,0.001877027,0.022456752,
