ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,SVM,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret,
3.082159879,7.469511724,-3.133573074,-11.99484784,12/10/2015,-0.000172139,-0.019877488,-1,-1,0,0,0,-0.018911944,
3.030026123,6.894172147,-3.506650804,-11.99889012,13/10/2015,-0.000380296,-0.018373135,-1,-1,0,0,0,-0.01929224,
2.95600048,7.405709138,-4.007650265,-12.02503324,14/10/2015,0.000574143,-0.017785194,-1,-1,0,0,0,-0.018718097,
2.87225781,5.601218237,-2.798670566,-12.00392431,15/10/2015,-0.002108429,-0.020521603,-1,-1,0,0,0,-0.020826526,
2.798412511,4.823984677,-2.127464388,-11.95699043,16/10/2015,-0.001054374,-0.021290594,-1,-1,0,0,0,-0.0218809,
2.538310973,4.242483498,-1.675071262,-11.82378464,19/10/2015,-0.00085587,-0.02139521,-1,-1,0,0,0,-0.02273677,
2.442419746,3.42489314,-1.085477644,-11.76215217,20/10/2015,0.000733642,-0.018021128,-1,-1,0,0,0,-0.022003128,
2.349668942,3.432729209,-1.048462988,-11.69124686,21/10/2015,-0.000366769,-0.011632059,-1,-1,0,0,0,-0.022369897,
2.260188542,3.560954017,-0.789037194,-11.61039361,22/10/2015,-0.00939835,-0.009611555,-1,-1,0,0,0,-0.031768247,
2.193608762,5.227412981,1.512371535,-11.429365,23/10/2015,-0.002365921,-0.010112968,-1,-1,0,0,0,-0.034134168,
2.009896718,7.533229059,-0.041001945,-10.97543225,26/10/2015,0.000705565,-0.010033525,-1,-1,0,0,0,-0.033428603,
1.955411965,8.031702286,-0.709841305,-10.89322001,27/10/2015,2.02E-05,-0.011550556,-1,-1,0,0,0,-0.033408373,
1.909409002,8.502991566,-0.682418713,-10.81082652,28/10/2015,0.001932042,-0.009730273,-1,-1,0,0,0,-0.031476331,
1.888924789,9.709412295,0.760612056,-10.66737829,29/10/2015,-0.001451522,-0.008489807,-1,-1,0,0,0,-0.032927853,
1.915463193,11.54275883,1.080118002,-10.49686198,30/10/2015,-0.000531536,-0.010378151,-1,-1,0,0,0,-0.033459389,
1.950290889,11.6263742,1.749865857,-9.976658164,02/11/2015,-0.000398514,-0.010070106,-1,-1,0,0,0,-0.033857903,
1.928520407,11.57420122,1.631014395,-9.784174831,03/11/2015,0.000245003,-0.018903225,-1,-1,0,0,0,-0.0336129,
1.918787369,9.90038238,2.572268452,-9.548122238,04/11/2015,-0.001021328,-0.01844509,-1,-1,0,0,0,-0.034634228,
1.900117167,9.227885079,1.599823554,-9.359301845,05/11/2015,0.000413986,-0.012640546,-1,-1,0,0,0,-0.034220242,
1.91760089,6.242278868,2.565624925,-9.127596847,06/11/2015,-0.005680285,-0.012198374,1,-1,0,0,0,-0.039900527,
1.949486586,6.226129875,2.46499839,-8.492965763,09/11/2015,0.000623375,-0.007500346,1,-1,0,0,0,-0.039277152,
1.938896499,6.228699414,0.848266593,-8.365151439,10/11/2015,-0.001506139,-0.012076037,1,-0.904761905,0,0,0,-0.040783291,
1.877421805,6.180075708,0.721462894,-8.237041498,11/11/2015,0.001613563,-0.012350752,1,-0.80952381,0,0,0,-0.039169728,
1.802883275,6.32418939,1.357683168,-8.094338931,12/11/2015,0.002078496,-0.010949519,1,-0.714285714,0,0,0,-0.037091232,
1.73569236,6.497546117,1.138483068,-7.959981734,13/11/2015,-0.001520488,-0.007562236,1,-0.619047619,0,0,0,-0.03861172,
1.557309426,7.229009591,1.028855979,-7.580989188,16/11/2015,-0.003790783,-0.005260417,1,-0.523809524,0,0,0,-0.042402503,
1.49214076,8.613640458,0.638702776,-7.469705655,17/11/2015,-0.001624861,-0.004813858,-1,-0.428571429,0,0,0,-0.044027364,
1.421617861,9.855909493,-0.3459255,-7.401675061,18/11/2015,0.000629026,-0.008991322,-1,-0.333333333,0,0,0,-0.043398338,
1.330916738,9.570641601,-0.698120425,-7.364761136,19/11/2015,0.003007313,-0.007684684,-1,-0.333333333,0,0,0,-0.040391025,
1.246659884,9.455589141,-0.815080666,-7.317955407,20/11/2015,-0.003009281,-0.009087132,-1,-0.333333333,0,0,0,-0.043400306,
1.046049028,11.38039849,0.297763778,-7.152916892,23/11/2015,-0.000345417,-0.007324899,-1,-0.333333333,0,0,0,-0.043745723,
1.000465339,12.75601778,-0.00923244,-7.095504784,24/11/2015,0.000204152,-0.01004465,-1,-0.333333333,0,0,0,-0.043541571,
0.970633605,12.52959855,-0.256291507,-7.044128766,25/11/2015,9.97E-05,-0.010480731,-1,-0.333333333,0,0,0,-0.043441898,
0.944153013,12.64583634,-0.073449296,-6.985994608,26/11/2015,0.000415011,-0.011176608,-1,-0.333333333,0,0,0,-0.043026887,
0.950427901,11.4693329,-0.840740158,-6.961113458,27/11/2015,0.000368761,-0.010404829,-1,-0.333333333,0,0,0,-0.042658126,
0.994144704,11.04964943,-1.392862206,-6.901196079,30/11/2015,0.00070893,-0.008155668,1,-0.333333333,0,0,0,-0.041949196,
0.991061653,13.3265663,-2.182970093,-6.915620974,01/12/2015,-0.002286858,-0.007527724,1,-0.333333333,0,0,0,-0.044236054,
1.000397608,11.19282489,-2.874702877,-6.949913175,02/12/2015,0.000553048,0.002326723,1,-0.238095238,0,0,0,-0.043683006,
1.027723254,11.37073897,-3.953017577,-7.024847499,03/12/2015,-0.009854447,0.001710415,1,-0.142857143,0,0,0,-0.053537453,
1.077129228,12.41948527,-4.411292813,-7.096029742,04/12/2015,0.000872121,0.002056587,1,-0.047619048,0,0,0,-0.052665332,
1.20346709,11.46680782,-4.528306912,-7.303740141,07/12/2015,0.000124259,0.000908793,1,0.047619048,1,0.000124259,0.000124259,-0.052541073,
1.242838152,11.32699797,-3.687443679,-7.348332253,08/12/2015,0.001065547,-0.00334108,1,0.142857143,1,0.001065547,0.001189806,-0.051475526,
1.291459431,11.19035444,-2.333281984,-7.341062508,09/12/2015,0.003191889,-0.000553077,1,0.142857143,1,0.003191889,0.004381695,-0.048283637,
1.325583157,11.33018997,-2.195267734,-7.322408525,10/12/2015,-0.002962128,-0.001432388,1,0.142857143,1,-0.002962128,0.001419567,-0.051245765,
1.384287228,11.11192604,-1.900073886,-7.259419449,11/12/2015,0.001803781,-0.001031636,1,0.142857143,1,0.001803781,0.003223348,-0.049441984,
1.536724801,10.7265149,-0.910543073,-7.02649956,14/12/2015,-0.000119255,-0.001674616,-1,0.142857143,1,-0.000119255,0.003104093,-0.049561239,
1.571514692,11.19085161,-1.172283974,-6.943394748,15/12/2015,-0.0004035,-0.002023919,-1,0.142857143,1,-0.0004035,0.002700593,-0.049964739,
1.624395707,11.45315025,-1.275089841,-6.842876068,16/12/2015,0.000676958,-0.003725586,-1,0.047619048,1,0.000676958,0.003377551,-0.049287781,
1.662776942,11.27231569,-1.166549045,-6.750819718,17/12/2015,0.001075585,-0.002619765,-1,-0.047619048,0,0,0.003377551,-0.048212196,
1.691984285,11.13969128,-1.460193272,-6.670318475,18/12/2015,-0.001170151,-0.000471557,1,-0.047619048,0,0,0.003377551,-0.049382347,
1.77436648,12.16935907,-2.220865485,-6.474162844,21/12/2015,-0.001702643,0.000302213,1,-0.047619048,0,0,0.003377551,-0.05108499,
1.80086993,11.76747622,-2.001490346,-6.427231121,22/12/2015,-0.001747865,-0.002481437,1,0.047619048,1,-0.001747865,0.001629686,-0.052832855,
1.814590769,12.1334325,-3.321320323,-6.425082088,23/12/2015,0.001966385,-0.002591126,1,0.142857143,1,0.001966385,0.003596071,-0.05086647,
1.830427999,11.89403547,-3.217006436,-6.420447317,24/12/2015,-0.002620078,-0.001502336,1,0.238095238,1,-0.002620078,0.000975993,-0.053486548,
1.845056207,11.75180412,-3.167956472,-6.414593296,25/12/2015,-2.11E-05,-0.001313955,1,0.333333333,1,-2.11E-05,0.000954923,-0.053507618,
1.880364451,11.34352684,-3.445440888,-6.410181524,28/12/2015,-0.000327116,-0.003420413,1,0.428571429,1,-0.000327116,0.000627807,-0.053834734,
1.889756273,10.81736445,-3.22022254,-6.416041272,29/12/2015,0.001480709,-0.004122376,1,0.523809524,1,0.001480709,0.002108516,-0.052354025,
1.892524629,10.62550975,-3.111560182,-6.433592721,30/12/2015,-3.77E-05,-0.003403328,1,0.619047619,1,-3.77E-05,0.002070819,-0.052391722,
1.889105827,11.45503107,-3.750326787,-6.472711468,31/12/2015,0.001180992,-0.004274411,1,0.619047619,1,0.001180992,0.003251811,-0.05121073,
1.885431455,11.3229398,-3.693692962,-6.508402565,01/01/2016,0,-0.004993447,1,0.619047619,1,0,0.003251811,-0.05121073,
1.84555815,11.6451716,-3.802439238,-6.639673265,04/01/2016,0.000255813,-0.006748729,1,0.619047619,1,0.000255813,0.003507624,-0.050954917,
1.843282764,10.84605976,-4.057124067,-6.735851455,05/01/2016,0.000470431,-0.008418243,1,0.619047619,1,0.000470431,0.003978055,-0.050484486,
1.835725828,9.598810678,-3.047427829,-6.79106714,06/01/2016,-8.22E-05,-0.006031176,1,0.619047619,1,-8.22E-05,0.003895808,-0.050566733,
1.868680969,11.77211811,-1.85663787,-6.831395987,07/01/2016,-0.001057984,-0.006230105,1,0.619047619,1,-0.001057984,0.002837824,-0.051624717,
1.92802239,9.141937028,-0.840081593,-6.841937673,08/01/2016,-0.000174125,-0.008274192,-1,0.619047619,1,-0.000174125,0.002663699,-0.051798842,
2.075552159,8.775032999,-1.085566818,-6.890578314,11/01/2016,0.00092447,-0.008240283,-1,0.619047619,1,0.00092447,0.003588169,-0.050874372,
2.085072193,8.694744912,-1.421016757,-7.01166562,12/01/2016,0.000281497,-0.007811954,1,0.523809524,1,0.000281497,0.003869666,-0.050592875,
2.083591548,8.615611693,-1.414106459,-7.072277493,13/01/2016,-0.00104648,-0.007293762,1,0.428571429,1,-0.00104648,0.002823186,-0.051639355,
2.057461286,8.600379692,-2.506343773,-7.170659635,14/01/2016,0.000327655,-0.005595711,1,0.523809524,1,0.000327655,0.003150841,-0.0513117,
2.005112191,10.13664558,-3.621759578,-7.298204484,15/01/2016,-0.000626082,-0.005595691,1,0.619047619,1,-0.000626082,0.002524759,-0.051937782,
