ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,LSTM,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret,
3.082159879,7.469511724,-3.133573074,-11.99484784,12/10/2015,-9.97E-05,-0.076914232,-1,-0.142857143,0,0,-0.049530784,-0.031776506,
3.030026123,6.894172147,-3.506650804,-11.99889012,13/10/2015,0.003415263,-0.085410742,-1,-0.238095238,0,0,-0.049530784,-0.028361243,
2.95600048,7.405709138,-4.007650265,-12.02503324,14/10/2015,0.013964522,-0.073664717,-1,-0.333333333,0,0,-0.049530784,-0.014396721,
2.87225781,5.601218237,-2.798670566,-12.00392431,15/10/2015,-0.014121823,-0.079533401,-1,-0.428571429,0,0,-0.049530784,-0.028518544,
2.798412511,4.823984677,-2.127464388,-11.95699043,16/10/2015,-0.003734479,-0.081564884,-1,-0.523809524,0,0,-0.049530784,-0.032253023,
2.538310973,4.242483498,-1.675071262,-11.82378464,19/10/2015,-0.002686716,-0.082086764,1,-0.523809524,0,0,-0.049530784,-0.034939739,
2.442419746,3.42489314,-1.085477644,-11.76215217,20/10/2015,0.002330661,-0.075019392,1,-0.523809524,0,0,-0.049530784,-0.032609078,
2.349668942,3.432729209,-1.048462988,-11.69124686,21/10/2015,-0.001159877,-0.053170809,1,-0.428571429,0,0,-0.049530784,-0.033768955,
2.260188542,3.560954017,-0.789037194,-11.61039361,22/10/2015,-0.027524186,-0.041687815,1,-0.428571429,0,0,-0.049530784,-0.061293141,
2.193608762,5.227412981,1.512371535,-11.429365,23/10/2015,-0.012303219,-0.047010835,-1,-0.428571429,0,0,-0.049530784,-0.07359636,
2.009896718,7.533229059,-0.041001945,-10.97543225,26/10/2015,0.006206282,-0.045265656,-1,-0.428571429,0,0,-0.049530784,-0.067390078,
1.955411965,8.031702286,-0.709841305,-10.89322001,27/10/2015,-0.002941059,-0.032759713,-1,-0.523809524,0,0,-0.049530784,-0.070331137,
1.909409002,8.502991566,-0.682418713,-10.81082652,28/10/2015,-0.013732916,-0.040839138,1,-0.523809524,0,0,-0.049530784,-0.084064053,
1.888924789,9.709412295,0.760612056,-10.66737829,29/10/2015,0.007344058,-0.044584152,1,-0.523809524,0,0,-0.049530784,-0.076719995,
1.915463193,11.54275883,1.080118002,-10.49686198,30/10/2015,0.002286112,-0.042229235,1,-0.428571429,0,0,-0.049530784,-0.074433883,
1.950290889,11.6263742,1.749865857,-9.976658164,02/11/2015,0.001125287,-0.037076339,1,-0.333333333,0,0,-0.049530784,-0.073308596,
1.928520407,11.57420122,1.631014395,-9.784174831,03/11/2015,-0.006041848,-0.00827186,1,-0.238095238,0,0,-0.049530784,-0.079350444,
1.918787369,9.90038238,2.572268452,-9.548122238,04/11/2015,-0.011942771,-0.008806385,1,-0.142857143,0,0,-0.049530784,-0.091293215,
1.900117167,9.227885079,1.599823554,-9.359301845,05/11/2015,0.001927658,0.010491403,1,-0.142857143,0,0,-0.049530784,-0.089365557,
1.91760089,6.242278868,2.565624925,-9.127596847,06/11/2015,-0.018015704,0.007037741,1,-0.047619048,0,0,-0.049530784,-0.107381261,
1.949486586,6.226129875,2.46499839,-8.492965763,09/11/2015,0.001875321,0.00762331,1,0.047619048,1,0.001875321,-0.047655463,-0.10550594,
1.938896499,6.228699414,0.848266593,-8.365151439,10/11/2015,-0.004510009,0.005433805,1,0.142857143,1,-0.004510009,-0.052165472,-0.110015949,
1.877421805,6.180075708,0.721462894,-8.237041498,11/11/2015,0.004740474,-0.001750814,1,0.238095238,1,0.004740474,-0.047424998,-0.105275475,
1.802883275,6.32418939,1.357683168,-8.094338931,12/11/2015,0.005468012,0.000422236,1,0.333333333,1,0.005468012,-0.041956986,-0.099807463,
1.73569236,6.497546117,1.138483068,-7.959981734,13/11/2015,-0.002375798,-0.006664897,1,0.428571429,1,-0.002375798,-0.044332784,-0.102183261,
1.557309426,7.229009591,1.028855979,-7.580989188,16/11/2015,-0.009603163,-0.007637147,1,0.523809524,1,-0.009603163,-0.053935947,-0.111786424,
1.49214076,8.613640458,0.638702776,-7.469705655,17/11/2015,-0.004718199,-0.017194363,1,0.619047619,1,-0.004718199,-0.058654146,-0.116504623,
1.421617861,9.855909493,-0.3459255,-7.401675061,18/11/2015,0.001808781,-0.018635036,1,0.714285714,1,0.001808781,-0.056845365,-0.114695842,
1.330916738,9.570641601,-0.698120425,-7.364761136,19/11/2015,0.005907495,-0.006989573,1,0.714285714,1,0.005907495,-0.05093787,-0.108788347,
1.246659884,9.455589141,-0.815080666,-7.317955407,20/11/2015,-0.005675603,-0.000232402,1,0.714285714,1,-0.005675603,-0.056613473,-0.11446395,
1.046049028,11.38039849,0.297763778,-7.152916892,23/11/2015,-0.000820225,-0.007677831,1,0.714285714,1,-0.000820225,-0.057433698,-0.115284175,
1.000465339,12.75601778,-0.00923244,-7.095504784,24/11/2015,0.000883262,0.002284572,1,0.714285714,1,0.000883262,-0.056550436,-0.114400913,
0.970633605,12.52959855,-0.256291507,-7.044128766,25/11/2015,-0.00119588,0.003587006,1,0.80952381,1,-0.00119588,-0.057746316,-0.115596793,
0.944153013,12.64583634,-0.073449296,-6.985994608,26/11/2015,-0.001226973,0.005471473,1,0.904761905,1,-0.001226973,-0.058973289,-0.116823766,
0.950427901,11.4693329,-0.840740158,-6.961113458,27/11/2015,-0.000735367,-0.000250256,1,1,1,-0.000735367,-0.059708656,-0.117559133,
0.994144704,11.04964943,-1.392862206,-6.901196079,30/11/2015,-0.001458902,-0.003307358,1,1,1,-0.001458902,-0.061167558,-0.119018035,
0.991061653,13.3265663,-2.182970093,-6.915620974,01/12/2015,0.003480204,-0.01100162,1,1,1,0.003480204,-0.057687354,-0.115537831,
1.000397608,11.19282489,-2.874702877,-6.949913175,02/12/2015,-0.000888952,-0.027863328,1,1,1,-0.000888952,-0.058576306,-0.116426783,
1.027723254,11.37073897,-3.953017577,-7.024847499,03/12/2015,0.016861708,-0.033743371,1,1,1,0.016861708,-0.041714598,-0.099565075,
1.077129228,12.41948527,-4.411292813,-7.096029742,04/12/2015,0.001393133,-0.044701352,1,1,1,0.001393133,-0.040321465,-0.098171942,
